Temperature (K),Term 1: Constant,Term 2: Linear,Term 3: T*ln(T),Term 4: Quadratic,Term 5: Cubic,Term 6: Inverse T,Total Energy
298,-5855.135,19502.10787,-27097.5301231576,-1675.7492408,82.59729005186401,-207.91946308724832,-15251.628666992985
303,-5855.135,19829.324445,-27632.657460546714,-1732.4541918,86.825019994209,-204.4884488448845,-15508.585636197391
308,-5855.135,20156.54102,-28169.101771900696,-1790.1026528,91.194606976704,-201.16883116883116,-15767.772628892822
313,-5855.135,20483.757595,-28706.84167587816,-1848.6946238,95.708391874599,-197.9552715654952,-16029.160584369058
318,-5855.135,20810.974169999998,-29245.8564743363,-1908.2301048,100.368715563144,-194.8427672955975,-16292.721460868754
323,-5855.135,21138.190745,-29786.126120099056,-1968.7090958000001,105.177918917589,-191.8266253869969,-16558.428177368463
328,-5855.135,21465.40732,-30327.63118672154,-2030.1315968000001,110.138342813184,-188.90243902439025,-16826.254559732748
333,-5855.135,21792.623895,-30870.35284009843,-2092.4976078,115.252328125179,-186.06606606606607,-17096.175290839317
338,-5855.135,22119.84047,-31414.27281177791,-2155.8071288,120.522215728824,-183.31360946745562,-17368.165864316547
343,-5855.135,22447.057044999998,-31959.37337385494,-2220.0601598,125.950346499369,-180.64139941690962,-17642.202541572482
348,-5855.135,22774.27362,-32505.637315328775,-2285.2567008,131.539061312064,-178.04597701149424,-17918.262311828206
353,-5855.135,23101.490195,-33053.04791981946,-2351.3967518,137.29070104215901,-175.52407932011332,-18196.322854897415
358,-5855.135,23428.70677,-33601.58894454709,-2418.4803128,143.207606564904,-173.07262569832403,-18476.362506480506
363,-5855.135,23755.923345,-34151.24460048557,-2486.5073838,149.292118755549,-170.68870523415978,-18758.360225764176
368,-5855.135,24083.139919999998,-34701.99953361007,-2555.4779648,155.546578489344,-168.3695652173913,-19042.29556513812
373,-5855.135,24410.356495,-35253.83880716374,-2625.3920558,161.973326641539,-166.11260053619304,-19328.148641858395
378,-5855.135,24737.57307,-35806.74788487544,-2696.2496568,168.574704087384,-163.91534391534393,-19615.900111503404
383,-5855.135,25064.789645,-36360.712615065604,-2768.0507678,175.353051702129,-161.77545691906005,-19905.53114308253
388,-5855.135,25392.00622,-36915.7192155821,-2840.7953888,182.310710361024,-159.69072164948454,-20197.023395670563
393,-5855.135,25719.222794999998,-37471.754259512796,-2914.4835198,189.450020939319,-157.6590330788804,-20490.35899645236
398,-5855.135,26046.43937,-38028.804661625276,-2989.1151608,196.773324312264,-155.678391959799,-20785.520520072812
403,-5855.135,26373.655945,-38586.857665488096,-3064.6903118,204.282961355109,-153.7468982630273,-21082.49096919602
408,-5855.135,26700.87252,-39145.90083123124,-3141.2089728,211.981272943104,-151.86274509803923,-21381.253756186175
413,-5855.135,27028.089095,-39705.922023906685,-3218.6711438,219.870599951499,-150.02421307506054,-21681.79268583024
418,-5855.135,27355.305669999998,-40266.90940241255,-3297.0768248,227.953283255544,-148.22966507177034,-21984.091939028775
423,-5855.135,27682.522245,-40828.85140894748,-3376.4260158,236.231663730489,-146.4775413711584,-22288.136057388147
428,-5855.135,28009.73882,-41391.73675896349,-3456.7187168,244.708082251584,-144.7663551401869,-22593.909928652094
433,-5855.135,28336.955395,-41955.55443158847,-3537.9549278,253.384879694079,-143.09468822170902,-22901.398772916098
438,-5855.135,28664.17197,-42520.29366049109,-3620.1346488,262.264396933224,-141.46118721461187,-23210.588129572472
443,-5855.135,28991.388544999998,-43085.94392516285,-3703.2578798,271.348974844269,-139.8645598194131,-23521.463844937993
448,-5855.135,29318.60512,-43652.49494259386,-3787.3246208,280.640954302464,-138.30357142857142,-23834.01206051997
453,-5855.135,29645.821695,-44219.93665932013,-3872.3348718,290.142676183059,-136.77704194260485,-24148.219201879678
458,-5855.135,29973.03827,-44788.2592438221,-3958.2886328,299.856481361304,-135.28384279475983,-24464.071968055556
463,-5855.135,30300.254845,-45357.45307925519,-4045.1859038000002,309.784710712449,-133.82289416846652,-24781.5573215112
468,-5855.135,30627.471419999998,-45927.50875649426,-4133.0266848,319.929705111744,-132.39316239316238,-25100.66247857568
473,-5855.135,30954.687995,-46498.417067475435,-4221.8109758,330.293805434439,-130.9936575052854,-25421.374900346284
478,-5855.135,31281.90457,-47070.16899881956,-4311.5387768,340.879352555784,-129.6234309623431,-25743.68228402612
483,-5855.135,31609.121145,-47642.75572572223,-4402.2100878,351.688687351029,-128.2815734989648,-26067.572554670158
488,-5855.135,31936.33772,-48216.16860609718,-4493.8249088,362.724150695424,-126.9672131147541,-26393.033857316506
493,-5855.135,32263.554294999998,-48790.39917495942,-4586.3832398,373.988083464219,-125.67951318458418,-26720.054549479788
